Age,Beg.,Nov.,Int.,Adv.,Elite
15,29.48,50.35,78.02,112.04,150.59
20,33.57,57.61,89.36,128.37,172.37
25,34.47,58.97,91.63,132,176.9
30,34.47,58.97,91.63,132,176.9
35,34.47,58.97,91.63,132,176.9
40,34.47,58.97,91.63,132,176.9
45,32.66,56.25,87.09,125.19,167.38
50,30.84,52.62,81.65,117.48,157.4
55,28.58,48.53,75.75,108.41,145.6
60,25.85,44.45,68.95,98.88,132.9
65,23.59,39.92,62.6,89.36,120.2
70,20.87,35.83,55.79,80.29,107.5
75,18.6,32.21,49.9,71.67,96.16
80,16.78,28.58,44.91,64.41,86.18
85,14.97,25.85,39.92,57.61,77.11
90,13.61,23.13,36.29,51.71,69.4
