Age,Beg.,Nov.,Int.,Adv.,Elite
15,7.71,14.06,23.13,34.02,46.72
20,8.62,16.33,26.31,39.01,53.52
25,9.07,16.33,27.22,40.37,54.88
30,9.07,16.33,27.22,40.37,54.88
35,9.07,16.33,27.22,40.37,54.88
40,9.07,16.33,27.22,40.37,54.88
45,8.62,15.88,25.85,38.1,52.16
50,7.71,14.51,24.04,35.83,48.99
55,7.26,13.61,22.23,33.11,45.36
60,6.8,12.25,20.41,30.39,41.28
65,5.9,11.34,18.6,27.22,37.19
70,5.44,9.98,16.33,24.49,33.57
75,4.99,9.07,14.97,21.77,29.94
80,4.54,8.16,13.15,19.5,26.76
85,4.08,7.26,11.79,17.69,24.04
90,3.63,6.35,10.43,15.88,21.77
