Age,Beg.,Nov.,Int.,Adv.,Elite
15,9.98,19.96,33.11,50.35,69.85
20,11.79,22.68,38.1,57.61,79.83
25,11.79,23.13,39.01,58.97,81.65
30,11.79,23.13,39.01,58.97,81.65
35,11.79,23.13,39.01,58.97,81.65
40,11.79,23.13,39.01,58.97,81.65
45,11.34,22.23,37.19,55.79,77.56
50,10.43,20.87,34.93,52.62,73.03
55,9.98,19.05,32.21,48.53,67.59
60,9.07,17.69,29.48,44.45,61.69
65,8.16,15.88,26.76,39.92,55.79
70,7.26,14.06,24.04,35.83,49.9
75,6.35,12.7,21.32,32.21,44.45
80,5.9,11.34,19.05,28.58,39.92
85,5.44,9.98,17.24,25.85,35.83
90,4.54,9.07,15.42,23.13,32.21
