Age,Beg.,Nov.,Int.,Adv.,Elite
15,2.72,13.15,32.21,59.42,93.89
20,3.18,14.97,36.74,68.04,107.5
25,3.18,15.42,37.65,69.85,110.22
30,3.18,15.42,37.65,69.85,110.22
35,3.18,15.42,37.65,69.85,110.22
40,3.18,15.42,37.65,69.85,110.22
45,3.18,14.51,35.83,66.22,104.33
50,2.72,13.61,33.57,62.14,97.98
55,2.72,12.7,30.84,57.61,90.72
60,2.27,11.34,28.12,52.62,82.55
65,2.27,10.43,25.4,47.63,74.84
70,1.81,9.07,23.13,42.64,67.13
75,1.81,8.16,20.41,38.1,59.87
80,1.36,7.26,18.14,34.02,53.52
85,1.36,6.8,16.33,30.39,48.08
90,1.36,5.9,14.97,27.67,43.54
