Age,Beg.,Nov.,Int.,Adv.,Elite
15,39.46,56.7,78.02,102.97,129.73
20,45.36,64.86,89.36,117.93,148.32
25,46.27,66.68,91.63,120.66,152.41
30,46.27,66.68,91.63,120.66,152.41
35,46.27,66.68,91.63,120.66,152.41
40,46.27,66.68,91.63,120.66,152.41
45,44,63.05,87.09,114.76,144.7
50,41.28,59.42,81.65,107.5,135.62
55,38.1,54.88,75.75,99.34,125.65
60,34.93,49.9,68.95,90.72,114.31
65,31.75,45.36,62.14,82.1,103.42
70,28.12,40.82,55.79,73.48,92.99
75,25.4,36.29,49.9,65.77,83.01
80,22.68,32.66,44.91,58.97,74.39
85,20.41,29.03,39.92,52.62,66.68
90,18.14,26.31,36.29,47.63,59.87
