Age,Beg.,Nov.,Int.,Adv.,Elite
15,27.67,42.64,61.69,83.91,108.86
20,31.75,48.53,70.31,96.16,124.74
25,32.66,49.9,72.12,98.88,127.91
30,32.66,49.9,72.12,98.88,127.91
35,32.66,49.9,72.12,98.88,127.91
40,32.66,49.9,72.12,98.88,127.91
45,30.84,47.17,68.49,93.89,121.11
50,29.03,44.45,64.41,88,113.85
55,26.76,41.28,59.42,81.19,105.23
60,24.49,37.65,54.43,74.39,96.16
65,22.23,34.02,48.99,67.13,86.64
70,19.96,30.39,44,60.33,78.02
75,17.69,27.22,39.46,53.98,69.85
80,15.88,24.49,35.38,48.08,62.14
85,14.06,21.77,31.75,43.09,55.79
90,12.7,19.5,28.58,39.01,50.35
