Age,Beg.,Nov.,Int.,Adv.,Elite
15,31.75,48.99,70.76,96.62,125.65
20,36.29,55.79,81.19,110.68,143.79
25,37.19,57.15,83.01,113.85,147.42
30,37.19,57.15,83.01,113.85,147.42
35,37.19,57.15,83.01,113.85,147.42
40,37.19,57.15,83.01,113.85,147.42
45,35.38,54.43,78.93,107.95,139.71
50,33.11,51.26,73.94,101.15,131.09
55,30.39,47.17,68.49,93.44,121.11
60,28.12,43.09,62.6,85.28,110.68
65,25.4,39.01,56.25,77.11,100.24
70,22.68,34.93,50.8,69.4,89.81
75,20.41,31.3,45.36,62.14,80.29
80,18.14,28.12,40.37,55.34,71.67
85,16.33,24.95,36.29,49.44,64.41
90,14.51,22.68,32.66,44.91,58.06
