Age,Beg.,Nov.,Int.,Adv.,Elite
15,78.93,116.12,162.39,216.36,274.88
20,90.26,132.45,185.52,247.66,314.79
25,92.53,136.08,190.51,254.01,322.96
30,92.53,136.08,190.51,254.01,322.96
35,92.53,136.08,190.51,254.01,322.96
40,92.53,136.08,190.51,254.01,322.96
45,88,129.27,180.53,240.86,306.17
50,82.55,121.11,169.64,225.89,287.58
55,76.2,112.04,156.94,209.11,265.81
60,69.85,102.51,143.34,190.96,242.67
65,63.05,92.53,129.27,172.37,219.54
70,56.7,83.01,116.12,154.67,196.86
75,50.35,74.39,103.87,138.35,175.99
80,45.36,66.22,92.99,123.83,157.4
85,40.37,59.42,83.01,110.68,141.07
90,36.74,53.52,74.84,99.79,127.01
