Age,Beg.,Nov.,Int.,Adv.,Elite
15,19.05,45.36,85.73,137.89,200.03
20,21.77,52.16,97.98,157.85,229.06
25,22.23,53.52,100.24,162.39,234.96
30,22.23,53.52,100.24,162.39,234.96
35,22.23,53.52,100.24,162.39,234.96
40,22.23,53.52,100.24,162.39,234.96
45,21.32,50.8,95.25,153.77,222.71
50,19.96,47.63,89.36,144.24,209.11
55,18.14,44,82.55,133.36,193.23
60,16.78,39.92,75.3,122.02,176.45
65,14.97,36.29,68.04,110.22,159.66
70,13.61,32.66,61.23,98.88,143.34
75,12.25,29.03,54.88,88.45,127.91
80,10.89,25.85,48.99,78.93,114.31
85,9.53,23.13,44,70.76,102.51
90,8.62,20.87,39.46,63.96,92.53
