Age,Beg.,Nov.,Int.,Adv.,Elite
15,30.84,55.34,89.36,131.54,179.62
20,34.93,63.5,102.51,150.59,205.48
25,35.83,65.32,105.23,154.67,210.92
30,35.83,65.32,105.23,154.67,210.92
35,35.83,65.32,105.23,154.67,210.92
40,35.83,65.32,105.23,154.67,210.92
45,34.02,61.69,99.79,146.51,200.03
50,32.21,58.06,93.89,137.89,187.79
55,29.48,53.52,86.64,127.46,173.73
60,27.22,48.99,78.93,116.12,158.3
65,24.49,44.45,71.67,105.23,143.34
70,21.77,39.92,63.96,94.35,128.37
75,19.5,35.38,57.15,84.37,114.76
80,17.69,31.75,51.26,75.3,102.51
85,15.88,28.58,45.81,67.59,92.08
90,14.06,25.85,41.28,60.78,83.01
