Age,Beg.,Nov.,Int.,Adv.,Elite
15,23.59,39.46,59.87,84.82,112.49
20,27.22,44.91,68.49,97.07,128.82
25,27.67,46.27,70.31,99.79,132.45
30,27.67,46.27,70.31,99.79,132.45
35,27.67,46.27,70.31,99.79,132.45
40,27.67,46.27,70.31,99.79,132.45
45,26.31,44,66.68,94.35,125.65
50,24.95,41.28,62.6,88.9,117.93
55,22.68,38.1,58.06,82.1,108.86
60,20.87,34.47,53.07,74.84,99.34
65,19.05,31.3,47.63,67.59,89.81
70,16.78,28.12,43.09,60.78,80.74
75,14.97,24.95,38.56,54.43,72.12
80,13.61,22.68,34.47,48.53,64.41
85,12.25,19.96,30.84,43.54,57.61
90,10.89,18.14,27.67,39.01,52.16
