Age,Beg.,Nov.,Int.,Adv.,Elite
15,40.82,94.35,173.27,276.69,397.35
20,46.72,107.95,198.22,316.61,454.95
25,48.08,110.68,203.66,324.77,466.75
30,48.08,110.68,203.66,324.77,466.75
35,48.08,110.68,203.66,324.77,466.75
40,48.08,110.68,203.66,324.77,466.75
45,45.81,104.78,193.23,307.99,442.71
50,42.64,98.43,181.44,289.39,415.49
55,39.46,91.17,167.83,267.62,384.19
60,36.29,83.01,152.86,244.03,350.63
65,32.66,75.3,138.35,220.45,317.06
70,29.48,67.59,123.83,197.77,284.4
75,26.31,60.33,111.13,176.9,254.47
80,23.59,53.98,99.34,158.3,227.25
85,20.87,48.08,88.9,141.97,203.66
90,19.05,43.54,80.29,127.91,183.7
