Age,Beg.,Nov.,Int.,Adv.,Elite
15,39.46,58.51,82.55,110.68,141.52
20,44.91,66.68,94.35,126.55,161.93
25,46.27,68.49,97.07,130.18,166.01
30,46.27,68.49,97.07,130.18,166.01
35,46.27,68.49,97.07,130.18,166.01
40,46.27,68.49,97.07,130.18,166.01
45,44,65.32,92.08,123.38,157.85
50,41.28,61.23,86.18,115.67,147.87
55,38.1,56.7,79.83,107.05,136.98
60,34.93,51.71,73.03,97.52,124.74
65,31.3,46.72,65.77,88.45,112.94
70,28.12,41.73,58.97,79.38,101.15
75,25.4,37.19,52.62,70.76,90.72
80,22.68,33.57,47.17,63.5,81.19
85,19.96,29.94,42.18,56.7,72.57
90,18.14,27.22,38.1,51.26,65.32
