Age,Beg.,Nov.,Int.,Adv.,Elite
15,38.1,56.25,78.93,105.23,133.81
20,43.54,64.41,90.26,120.2,153.31
25,44.91,65.77,92.53,123.38,157.4
30,44.91,65.77,92.53,123.38,157.4
35,44.91,65.77,92.53,123.38,157.4
40,44.91,65.77,92.53,123.38,157.4
45,42.64,62.6,88,117.03,149.23
50,39.92,58.97,82.55,110.22,140.16
55,36.74,54.43,76.2,101.6,129.73
60,33.57,49.44,69.4,92.99,118.39
65,30.39,44.91,63.05,83.91,107.05
70,27.22,40.37,56.25,75.3,95.71
75,24.49,35.83,50.35,67.13,85.73
80,21.77,32.21,44.91,60.33,76.66
85,19.5,29.03,40.37,53.98,68.49
90,17.69,25.85,36.29,48.53,62.14
