Age,Beg.,Nov.,Int.,Adv.,Elite
15,19.96,46.27,85.28,136.53,195.95
20,22.68,53.07,97.52,156.04,224.53
25,23.59,54.43,100.24,160.12,230.42
30,23.59,54.43,100.24,160.12,230.42
35,23.59,54.43,100.24,160.12,230.42
40,23.59,54.43,100.24,160.12,230.42
45,22.23,51.26,94.8,151.95,218.63
50,20.87,48.08,89.36,142.43,205.02
55,19.5,44.45,82.55,132,189.6
60,17.69,40.82,75.3,120.2,173.27
65,15.88,36.74,68.04,108.86,156.49
70,14.06,33.11,61.23,97.52,140.16
75,12.7,29.48,54.43,87.09,125.65
80,11.34,26.31,48.99,78.02,112.04
85,10.43,23.59,43.54,69.85,100.7
90,9.07,21.32,39.46,63.05,90.72
