Age,Beg.,Nov.,Int.,Adv.,Elite
15,10.43,23.13,42.18,66.22,94.8
20,12.25,26.76,48.08,76.2,108.41
25,12.25,27.22,49.44,78.02,111.13
30,12.25,27.22,49.44,78.02,111.13
35,12.25,27.22,49.44,78.02,111.13
40,12.25,27.22,49.44,78.02,111.13
45,11.79,25.85,46.72,73.94,105.69
50,10.89,24.49,44,69.4,98.88
55,9.98,22.68,40.82,64.41,91.63
60,9.07,20.41,37.19,58.51,83.46
65,8.62,18.6,33.57,53.07,75.75
70,7.71,16.78,29.94,47.63,67.59
75,6.8,14.97,26.76,42.64,60.78
80,5.9,13.15,24.04,38.1,53.98
85,5.44,11.79,21.77,34.02,48.53
90,4.99,10.89,19.5,30.84,44
