Age,Beg.,Nov.,Int.,Adv.,Elite
15,14.97,28.58,48.53,73.03,101.6
20,16.78,33.11,55.34,83.46,116.12
25,17.24,33.57,56.7,85.73,118.84
30,17.24,33.57,56.7,85.73,118.84
35,17.24,33.57,56.7,85.73,118.84
40,17.24,33.57,56.7,85.73,118.84
45,16.33,32.21,53.98,81.19,112.94
50,15.42,29.94,50.8,76.2,106.14
55,14.06,27.67,46.72,70.76,97.98
60,13.15,25.4,42.64,64.41,89.36
65,11.79,23.13,38.56,58.06,80.74
70,10.43,20.41,34.47,52.16,72.57
75,9.53,18.6,30.84,46.72,64.86
80,8.62,16.33,27.67,41.73,58.06
85,7.71,14.97,24.95,37.65,52.16
90,6.8,13.15,22.23,33.57,46.72
