Age,Beg.,Nov.,Int.,Adv.,Elite
15,12.7,24.04,39.92,60.33,83.01
20,14.51,27.67,45.81,68.95,95.25
25,14.97,28.12,47.17,70.76,97.52
30,14.97,28.12,47.17,70.76,97.52
35,14.97,28.12,47.17,70.76,97.52
40,14.97,28.12,47.17,70.76,97.52
45,14.06,26.76,44.45,67.13,92.53
50,13.15,24.95,41.73,63.05,87.09
55,12.25,23.13,38.56,58.06,80.29
60,10.89,21.32,35.38,53.07,73.48
65,9.98,19.05,31.75,48.08,66.22
70,9.07,17.24,28.58,43.09,59.42
75,8.16,15.42,25.85,38.56,53.07
80,7.26,13.61,23.13,34.47,47.63
85,6.35,12.25,20.41,30.84,42.64
90,5.9,11.34,18.6,27.67,38.56
