Age,Beg.,Nov.,Int.,Adv.,Elite
15,68.95,119.29,186.88,269.89,363.33
20,78.47,136.53,214.1,308.9,415.94
25,80.74,140.16,219.54,317.06,426.83
30,80.74,140.16,219.54,317.06,426.83
35,80.74,140.16,219.54,317.06,426.83
40,80.74,140.16,219.54,317.06,426.83
45,76.66,132.9,208.2,300.73,405.06
50,72.12,124.74,195.5,282.59,380.11
55,66.68,115.21,180.98,261.27,351.53
60,60.78,105.23,165.11,238.59,320.69
65,54.88,95.25,149.23,215.46,289.85
70,48.99,85.28,133.81,193.23,259.91
75,44,76.2,119.75,172.82,232.69
80,39.46,68.04,107.05,154.67,207.75
85,35.38,61.23,96.16,138.35,186.43
90,31.75,55.34,86.64,124.74,167.83
