Age,Beg.,Nov.,Int.,Adv.,Elite
15,2.27,19.05,53.98,106.59,173.27
20,2.72,21.77,61.69,122.02,198.67
25,2.72,22.23,63.05,125.19,203.66
30,2.72,22.23,63.05,125.19,203.66
35,2.72,22.23,63.05,125.19,203.66
40,2.72,22.23,63.05,125.19,203.66
45,2.72,20.87,59.87,118.84,193.23
50,2.27,19.96,56.25,111.58,181.44
55,2.27,18.14,52.16,102.97,167.83
60,1.81,16.78,47.63,93.89,153.31
65,1.81,14.97,43.09,84.82,138.35
70,1.81,13.61,38.56,76.2,124.28
75,1.36,12.25,34.47,68.04,111.13
80,1.36,10.89,30.84,60.78,99.34
85,1.36,9.53,27.67,54.43,88.9
90,0.91,8.62,24.95,49.44,80.29
