Age,Beg.,Nov.,Int.,Adv.,Elite
15,-19.05,-2.27,17.69,39.92,63.5
20,-10.89,8.16,30.84,56.7,83.46
25,-9.07,10.43,34.02,59.87,87.54
30,-9.07,10.43,34.02,59.87,87.54
35,-9.07,10.43,34.02,59.87,87.54
40,-9.07,10.43,34.02,59.87,87.54
45,-12.7,5.9,28.12,53.07,79.38
50,-16.33,0.91,21.77,45.36,69.85
55,-20.87,-4.54,14.51,36.29,58.97
60,-25.85,-10.89,6.8,26.31,47.17
65,-30.39,-17.24,-1.36,16.78,35.38
70,-34.93,-23.13,-8.62,7.26,24.04
75,-39.46,-28.58,-15.88,-1.81,13.61
80,-43.09,-33.57,-22.23,-9.53,4.08
85,-46.27,-38.1,-27.67,-16.33,-4.08
90,-49.44,-41.73,-32.21,-22.23,-11.34
