Age,Beg.,Nov.,Int.,Adv.,Elite
15,-22.23,-4.08,17.69,42.18,68.04
20,-14.51,6.35,30.84,58.97,88.9
25,-12.7,8.16,33.57,62.6,93.44
30,-12.7,8.16,33.57,62.6,93.44
35,-12.7,8.16,33.57,62.6,93.44
40,-12.7,8.16,33.57,62.6,93.44
45,-16.33,4.08,28.12,55.34,84.37
50,-19.96,-0.91,21.77,47.63,74.84
55,-24.04,-6.8,14.51,38.1,63.5
60,-28.58,-12.7,6.35,28.12,51.26
65,-33.11,-18.6,-1.36,18.14,39.01
70,-37.65,-24.49,-9.07,8.62,27.22
75,-41.73,-29.94,-16.33,-0.45,16.33
80,-45.36,-34.93,-22.68,-8.62,6.35
85,-48.53,-39.01,-28.12,-15.42,-2.27
90,-51.26,-42.64,-32.66,-21.32,-9.53
