BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,17.24,39.01,72.12,114.76,165.11
54.43,21.32,45.81,80.74,125.65,177.81
58.97,25.85,52.16,89.36,136.08,190.51
63.5,30.39,58.51,97.52,146.51,202.3
68.04,34.93,64.41,105.23,156.04,213.64
72.57,39.46,70.76,112.94,165.56,224.53
77.11,44,76.66,120.66,174.63,235.41
81.65,48.53,82.55,127.91,183.25,245.39
86.18,52.62,88.45,135.17,191.87,255.37
90.72,57.15,93.89,141.97,200.03,264.9
95.25,61.69,99.34,148.78,208.2,273.97
99.79,65.77,104.78,155.13,215.91,282.59
104.33,69.85,110.22,161.93,223.17,291.21
108.86,73.94,115.21,167.83,230.88,299.82
113.4,78.02,120.2,174.18,237.68,307.99
117.93,82.1,125.19,180.08,244.94,315.7
122.47,86.18,130.18,185.97,251.74,323.86
127.01,90.26,135.17,191.87,258.55,331.12
131.54,93.89,139.71,197.31,264.9,338.38
136.08,97.98,144.24,202.76,271.25,345.64
140.61,101.6,148.78,208.2,277.6,352.89
