BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,24.95,46.72,77.11,114.76,157.85
54.43,29.94,53.52,86.18,125.65,170.55
58.97,35.38,60.78,94.8,136.08,182.8
63.5,40.37,67.59,102.97,146.06,194.59
68.04,45.81,73.94,111.13,156.04,205.48
72.57,50.8,80.74,119.29,165.11,216.36
77.11,55.79,87.09,127.01,174.18,226.8
81.65,60.78,92.99,134.26,183.25,236.78
86.18,65.77,99.34,141.52,191.42,246.3
90.72,70.76,105.23,148.78,199.58,255.37
95.25,75.3,111.13,155.58,207.75,264.44
99.79,79.83,116.57,162.39,215.46,273.52
104.33,84.82,122.02,168.74,223.17,281.68
108.86,89.36,127.46,175.09,230.42,289.85
113.4,93.89,132.9,181.44,237.68,298.01
117.93,97.98,138.35,187.33,244.49,305.72
122.47,102.51,143.34,193.68,251.29,313.43
127.01,106.59,148.32,199.13,258.09,320.69
131.54,110.68,153.31,205.02,264.44,327.95
136.08,114.76,158.3,210.47,270.79,335.2
140.61,118.84,162.84,215.91,277.14,342.01
