BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,13.15,27.67,48.99,76.2,107.95
54.43,16.33,32.21,54.88,83.46,116.12
58.97,19.05,36.29,60.33,90.26,124.28
63.5,22.23,40.82,65.77,96.62,132
68.04,25.4,44.91,70.76,102.97,139.25
72.57,28.58,48.99,75.75,108.86,146.06
77.11,31.3,52.62,80.74,114.76,152.86
81.65,34.47,56.7,85.73,120.66,159.66
86.18,37.65,60.33,90.26,126.1,166.01
90.72,40.37,63.96,94.8,131.54,171.91
95.25,43.09,67.59,99.34,136.53,177.81
99.79,46.27,71.21,103.42,141.52,183.7
104.33,48.99,74.84,107.5,146.51,189.15
108.86,51.71,78.02,111.58,151.5,194.59
113.4,54.43,81.65,115.67,156.04,200.03
117.93,57.15,84.82,119.75,160.57,205.02
122.47,59.87,88,123.38,164.65,210.01
127.01,62.14,91.17,127.01,169.19,215
131.54,64.86,94.35,130.63,173.27,219.54
136.08,67.59,97.07,134.26,177.35,224.07
140.61,69.85,100.24,137.89,181.44,228.61
