BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,30.39,52.62,82.1,117.93,158.3
54.43,35.83,59.42,90.72,128.37,170.55
58.97,41.28,66.22,99.34,138.35,181.89
63.5,46.72,73.03,107.05,147.87,192.78
68.04,51.71,79.38,115.21,157.4,203.66
72.57,56.7,85.73,122.92,166.01,213.64
77.11,62.14,92.08,130.18,174.63,223.17
81.65,66.68,97.98,136.98,182.8,232.69
86.18,71.67,103.87,144.24,190.96,241.31
90.72,76.66,109.77,151.05,198.67,249.93
95.25,81.19,115.21,157.4,205.93,258.55
99.79,85.73,120.66,163.75,213.19,266.71
104.33,90.26,126.1,170.1,220.45,274.42
108.86,94.8,131.09,175.99,227.25,282.13
113.4,98.88,136.53,181.89,234.05,289.85
117.93,103.42,141.52,187.79,240.4,297.1
122.47,107.5,146.06,193.23,246.75,303.91
127.01,111.58,151.05,198.67,253.1,310.71
131.54,115.67,155.58,204.12,259,317.51
136.08,119.75,160.12,209.11,264.9,324.32
140.61,123.38,164.65,214.55,270.79,330.67
