BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,16.33,44.91,89.81,150.14,221.81
54.43,21.77,53.52,101.6,165.11,240.4
58.97,27.22,62.14,113.4,180.08,258.09
63.5,33.11,70.31,124.28,194.14,274.88
68.04,38.56,78.47,135.62,207.75,290.75
72.57,44.45,86.64,146.06,220.9,306.17
77.11,50.35,94.8,156.49,233.6,321.14
81.65,56.25,102.51,166.47,245.85,335.66
86.18,61.69,110.22,176.45,257.64,349.72
90.72,67.59,117.93,185.97,268.98,362.87
95.25,73.48,125.65,195.5,280.32,376.03
99.79,78.93,132.9,204.57,291.21,388.73
104.33,84.37,140.16,213.19,302.09,400.98
108.86,89.81,146.96,222.26,312.53,412.77
113.4,95.25,154.22,230.42,322.5,424.56
117.93,100.7,161.03,239.04,332.48,435.9
122.47,106.14,167.83,247.21,342.01,446.79
127.01,111.58,174.18,254.92,351.53,457.67
131.54,116.57,180.98,263.08,360.61,468.11
136.08,122.02,187.33,270.79,369.68,478.09
140.61,127.01,193.68,278.05,378.3,488.07
