BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,24.04,38.1,56.7,78.47,102.51
54.43,28.58,44,63.5,86.64,112.04
58.97,33.11,49.44,69.85,94.35,120.66
63.5,37.65,54.88,76.66,101.6,129.27
68.04,42.18,60.33,82.55,108.86,136.98
72.57,46.27,65.32,88.9,115.67,144.7
77.11,50.8,70.31,94.8,122.47,152.41
81.65,54.88,75.3,100.24,128.82,159.66
86.18,58.97,80.29,106.14,135.17,166.47
90.72,63.05,84.82,111.58,141.52,173.27
95.25,67.13,89.36,116.57,147.42,180.08
99.79,70.76,93.89,122.02,153.31,186.43
104.33,74.84,98.43,127.01,158.76,192.78
108.86,78.47,102.97,132,164.2,198.67
113.4,82.1,107.05,136.53,169.64,204.57
117.93,86.18,111.13,141.52,175.09,210.47
122.47,89.36,115.21,146.06,180.08,215.91
127.01,92.99,119.29,150.59,185.07,221.35
131.54,96.62,123.38,154.67,190.06,226.8
136.08,99.79,127.01,159.21,194.59,231.79
140.61,103.42,131.09,163.29,199.13,237.23
