BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,5.9,12.7,22.68,35.83,50.8
54.43,6.8,14.51,24.95,38.56,54.43
58.97,8.16,15.88,27.22,41.28,57.61
63.5,9.07,17.69,29.03,43.54,60.33
68.04,10.43,19.05,31.3,46.27,63.05
72.57,11.34,20.41,33.11,48.53,65.77
77.11,12.7,22.23,34.93,50.8,68.49
81.65,13.61,23.59,36.74,52.62,70.76
86.18,14.51,24.95,38.56,54.88,73.48
90.72,15.88,26.31,39.92,56.7,75.75
95.25,16.78,27.67,41.73,58.97,78.02
99.79,17.69,28.58,43.09,60.78,79.83
104.33,18.6,29.94,44.91,62.6,82.1
108.86,19.5,31.3,46.27,64.41,83.91
113.4,20.41,32.21,47.63,65.77,86.18
117.93,21.32,33.57,48.99,67.59,88
122.47,22.23,34.93,50.35,69.4,89.81
127.01,23.13,35.83,51.71,70.76,91.63
131.54,24.04,36.74,53.07,72.12,93.44
136.08,24.95,38.1,54.43,73.94,95.25
140.61,25.85,39.01,55.79,75.3,96.62
