BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,20.87,33.57,50.35,70.76,93.44
54.43,24.49,38.56,56.25,77.56,101.15
58.97,28.12,43.09,62.14,84.37,108.86
63.5,31.75,47.63,67.13,90.72,115.67
68.04,35.38,52.16,72.57,96.62,122.92
72.57,39.01,56.25,77.56,102.51,129.27
77.11,42.64,60.78,82.55,107.95,135.62
81.65,46.27,64.86,87.54,113.85,141.97
86.18,49.44,68.95,92.08,118.84,147.87
90.72,53.07,72.57,96.62,124.28,153.31
95.25,56.25,76.66,101.15,129.27,159.21
99.79,59.42,80.29,105.23,133.81,164.2
104.33,62.6,83.91,109.77,138.8,169.64
108.86,65.77,87.54,113.85,143.34,174.63
113.4,68.95,91.17,117.48,147.87,179.62
117.93,71.67,94.35,121.56,151.95,184.61
122.47,74.84,97.98,125.19,156.49,189.15
127.01,77.56,101.15,129.27,160.57,193.68
131.54,80.29,104.33,132.9,164.65,198.22
136.08,83.01,107.5,136.53,168.74,202.76
140.61,85.73,110.68,139.71,172.37,206.84
