BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,< 1,12,62,131,215
54.43,< 1,13,61,127,206
58.97,< 1,15,61,123,198
63.5,< 1,15,60,120,191
68.04,< 1,16,59,116,184
72.57,< 1,16,58,113,178
77.11,< 1,17,57,110,172
81.65,< 1,17,56,107,167
86.18,< 1,17,55,104,162
90.72,< 1,17,54,101,157
95.25,< 1,17,53,99,152
99.79,< 1,17,52,96,148
104.33,< 1,17,51,94,144
108.86,< 1,17,50,92,140
113.4,< 1,17,49,90,137
117.93,< 1,16,48,88,133
122.47,< 1,16,47,86,130
127.01,< 1,16,46,84,127
131.54,< 1,16,45,82,124
136.08,< 1,16,44,80,121
140.61,< 1,15,44,79,119
