BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,34.47,57.61,88.9,126.55,168.74
54.43,40.82,65.77,98.88,138.35,182.34
58.97,47.17,73.94,108.41,149.69,195.5
63.5,53.07,81.65,117.93,161.03,208.2
68.04,59.42,89.36,127.01,171.46,219.99
72.57,65.32,96.62,136.08,181.89,231.79
77.11,71.67,103.87,144.24,191.42,242.67
81.65,77.56,111.13,152.86,200.94,253.56
86.18,83.01,117.93,160.57,210.47,263.99
90.72,88.9,124.74,168.74,219.09,273.97
95.25,94.35,131.09,176.45,228.16,283.5
99.79,99.79,137.44,183.7,236.32,293.02
104.33,105.23,143.79,190.96,244.49,302.09
108.86,110.68,150.14,198.22,252.65,311.16
113.4,115.67,156.04,205.02,260.36,319.78
117.93,120.66,161.93,211.83,268.07,327.95
122.47,125.65,167.83,218.18,275.33,336.11
127.01,130.63,173.27,224.98,282.59,344.28
131.54,135.62,179.17,230.88,289.85,351.99
136.08,140.16,184.61,237.23,296.65,359.7
140.61,144.7,189.6,243.13,303.45,366.96
