BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,4.08,14.51,33.11,59.42,91.17
54.43,5.9,18.14,38.1,66.22,99.34
58.97,7.71,21.32,43.09,72.57,107.5
63.5,9.98,24.95,48.08,78.47,114.76
68.04,12.25,28.58,52.62,84.82,122.02
72.57,14.51,31.75,57.15,90.26,129.27
77.11,16.78,34.93,61.69,96.16,135.62
81.65,19.05,38.56,66.22,101.6,142.43
86.18,21.32,41.73,70.76,107.05,148.32
90.72,23.59,44.91,74.84,112.04,154.67
95.25,25.85,48.08,78.93,117.03,160.57
99.79,28.12,51.26,83.01,122.02,166.01
104.33,30.84,54.43,87.09,126.55,171.91
108.86,33.11,57.61,90.72,131.54,177.35
113.4,35.38,60.78,94.35,136.08,182.34
117.93,37.65,63.5,98.43,140.16,187.79
122.47,39.92,66.68,102.06,144.7,192.78
127.01,42.18,69.4,105.23,148.78,197.31
131.54,44,72.12,108.86,153.31,202.3
136.08,46.27,74.84,112.49,157.4,206.84
140.61,48.53,78.02,115.67,161.03,211.37
