BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,0.45,6.8,20.87,42.18,69.4
54.43,1.36,8.62,24.04,46.27,74.84
58.97,2.27,10.89,26.76,50.8,79.83
63.5,2.72,12.7,29.94,54.43,85.28
68.04,4.08,14.51,32.66,58.51,89.81
72.57,4.99,16.33,35.83,62.14,94.8
77.11,5.9,18.14,38.56,65.77,98.88
81.65,7.26,19.96,41.28,69.4,103.42
86.18,8.16,22.23,43.54,73.03,107.5
90.72,9.07,24.04,46.27,76.2,111.58
95.25,10.43,25.85,48.99,79.38,115.67
99.79,11.79,27.67,51.26,82.55,119.29
104.33,12.7,29.03,53.52,85.73,122.92
108.86,14.06,30.84,56.25,88.45,126.55
113.4,14.97,32.66,58.51,91.63,130.18
117.93,16.33,34.47,60.78,94.35,133.36
122.47,17.24,36.29,63.05,97.07,136.53
127.01,18.6,37.65,64.86,99.79,139.71
131.54,19.5,39.46,67.13,102.51,142.88
136.08,20.87,40.82,69.4,105.23,146.06
140.61,22.23,42.64,71.21,107.5,149.23
