BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,0.45,5.44,16.33,32.21,52.62
54.43,0.91,6.8,18.14,35.38,56.7
58.97,1.81,8.16,20.41,38.1,59.87
63.5,2.27,9.53,22.23,40.82,63.5
68.04,2.72,10.43,24.04,43.09,66.68
72.57,3.63,11.79,25.85,45.81,69.4
77.11,4.08,13.15,27.67,48.08,72.57
81.65,4.99,14.06,29.48,50.35,75.3
86.18,5.44,15.42,31.3,52.62,78.02
90.72,6.35,16.78,32.66,54.43,80.74
95.25,6.8,17.69,34.47,56.7,83.01
99.79,7.71,19.05,35.83,58.51,85.28
104.33,8.16,19.96,37.65,60.78,88
108.86,9.07,21.32,39.01,62.6,90.26
113.4,9.98,22.23,40.37,64.41,92.53
117.93,10.43,23.13,42.18,66.22,94.35
122.47,11.34,24.49,43.54,68.04,96.62
127.01,11.79,25.4,44.91,69.85,98.88
131.54,12.7,26.31,46.27,71.21,100.7
136.08,13.15,27.22,47.63,73.03,102.51
140.61,14.06,28.12,48.53,74.84,104.33
