BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,22.23,42.18,70.76,106.14,146.96
54.43,25.85,47.17,77.11,113.85,155.58
58.97,29.03,52.16,83.01,121.11,164.2
63.5,32.66,56.7,88.9,127.91,172.37
68.04,35.83,60.78,94.35,134.72,180.08
72.57,39.46,65.32,99.34,141.07,187.33
77.11,42.64,69.4,104.78,146.96,194.14
81.65,45.81,73.48,109.77,152.86,200.94
86.18,48.99,77.56,114.31,158.76,207.29
90.72,51.71,81.19,119.29,164.2,213.64
95.25,54.88,84.82,123.38,169.19,219.54
99.79,57.61,88.45,127.91,174.63,225.44
104.33,60.78,92.08,132,179.62,231.33
108.86,63.5,95.71,136.53,184.16,236.78
113.4,66.22,98.88,140.16,188.69,241.76
117.93,68.95,102.51,144.24,193.68,247.21
122.47,71.67,105.69,148.32,197.77,252.2
127.01,74.39,108.86,151.95,202.3,257.19
131.54,76.66,111.58,155.58,206.38,261.72
136.08,79.38,114.76,159.21,210.47,266.26
140.61,81.65,117.93,162.39,214.55,270.79
