BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,22.23,34.47,49.9,68.04,88
54.43,26.76,39.92,56.25,75.75,96.62
58.97,31.75,45.81,63.05,83.46,105.23
63.5,36.29,51.26,69.4,90.72,113.4
68.04,40.82,56.7,75.75,97.98,121.56
72.57,45.36,61.69,81.65,104.78,129.27
77.11,49.9,67.13,88,111.58,136.53
81.65,53.98,72.12,93.44,117.93,143.79
86.18,58.51,77.11,99.34,124.28,150.59
90.72,62.6,81.65,104.78,130.63,157.4
95.25,66.68,86.64,110.22,136.53,164.2
99.79,70.76,91.17,115.21,142.43,170.55
104.33,74.84,95.71,120.66,147.87,176.9
108.86,78.93,100.24,125.65,153.77,182.8
113.4,83.01,104.78,130.63,158.76,188.69
117.93,86.64,108.86,135.17,164.2,194.59
122.47,90.26,113.4,140.16,169.64,200.03
127.01,94.35,117.48,144.7,174.63,205.93
131.54,97.98,121.56,149.23,179.62,211.37
136.08,101.6,125.65,153.77,184.61,216.36
140.61,104.78,129.73,157.85,189.15,221.81
