BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,43.54,65.32,92.53,124.74,159.66
54.43,50.35,73.48,102.06,136.08,172.37
58.97,57.15,81.19,111.58,146.51,184.61
63.5,63.5,89.36,120.66,156.94,196.41
68.04,69.85,96.62,129.73,166.92,207.29
72.57,76.2,103.87,137.89,176.45,218.18
77.11,82.1,111.13,146.06,185.97,228.16
81.65,88.45,118.39,154.22,195.04,238.14
86.18,94.35,124.74,161.93,203.66,247.66
90.72,99.79,131.54,169.19,211.83,257.19
95.25,105.69,137.89,176.45,219.99,266.26
99.79,111.13,144.24,183.7,228.16,274.88
104.33,116.57,150.59,190.51,235.87,283.04
108.86,121.56,156.49,197.31,243.13,291.21
113.4,127.01,162.39,204.12,250.38,299.37
117.93,132,167.83,210.47,257.64,307.08
122.47,136.98,173.73,216.82,264.44,314.79
127.01,141.97,179.17,222.71,271.25,322.05
131.54,146.51,184.61,228.61,278.05,329.31
136.08,151.05,189.6,234.51,284.4,336.11
140.61,156.04,195.04,240.4,290.75,342.92
