BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,6.8,14.06,24.95,38.56,54.43
54.43,7.71,15.88,27.22,41.28,58.06
58.97,9.07,17.69,29.48,44.45,61.23
63.5,10.43,19.5,31.75,46.72,64.41
68.04,11.79,20.87,33.57,49.44,67.13
72.57,12.7,22.68,35.83,51.71,70.31
77.11,14.06,24.04,37.65,54.43,73.03
81.65,14.97,25.4,39.46,56.7,75.3
86.18,16.33,27.22,41.28,58.51,78.02
90.72,17.24,28.58,43.09,60.78,80.29
95.25,18.6,29.94,44.91,62.6,82.55
99.79,19.5,31.3,46.72,64.86,84.82
104.33,20.41,32.66,48.08,66.68,87.09
108.86,21.77,34.02,49.9,68.49,89.36
113.4,22.68,35.38,51.26,70.31,91.63
117.93,23.59,36.29,52.62,72.12,93.44
122.47,24.49,37.65,54.43,73.94,95.25
127.01,25.85,39.01,55.79,75.3,97.07
131.54,26.76,39.92,57.15,77.11,98.88
136.08,27.67,41.28,58.51,78.93,100.7
140.61,28.58,42.18,59.87,80.29,102.51
