BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,8.16,15.42,25.85,38.56,53.52
54.43,9.53,17.24,28.12,41.73,57.15
58.97,10.89,19.5,30.84,44.91,60.78
63.5,12.7,21.32,33.57,48.08,64.41
68.04,14.06,23.59,35.83,50.8,67.59
72.57,15.42,25.4,38.1,53.52,70.76
77.11,16.78,27.22,40.37,56.25,73.94
81.65,18.14,29.03,42.64,58.97,77.11
86.18,19.96,30.84,44.91,61.23,79.83
90.72,21.32,32.21,46.72,63.96,82.55
95.25,22.68,34.02,48.99,66.22,85.28
99.79,24.04,35.83,50.8,68.49,88
104.33,24.95,37.19,52.62,70.76,90.26
108.86,26.31,39.01,54.43,73.03,92.53
113.4,27.67,40.37,56.25,74.84,95.25
117.93,29.03,41.73,58.06,77.11,97.52
122.47,29.94,43.54,59.87,78.93,99.79
127.01,31.3,44.91,61.69,80.74,101.6
131.54,32.66,46.27,63.05,82.55,103.87
136.08,33.57,47.63,64.86,84.37,106.14
140.61,34.93,48.99,66.22,86.18,107.95
