BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,5.44,13.61,26.31,43.54,63.96
54.43,6.35,14.97,28.58,46.27,67.13
58.97,7.26,16.33,30.39,48.99,70.31
63.5,8.16,17.69,32.21,51.26,73.03
68.04,9.07,19.05,34.02,53.52,75.75
72.57,9.98,20.41,35.83,55.34,78.47
77.11,10.89,21.77,37.65,57.61,80.74
81.65,11.79,23.13,39.01,59.42,83.01
86.18,12.25,24.04,40.82,61.23,85.28
90.72,13.15,25.4,42.18,63.5,87.54
95.25,14.06,26.31,43.54,64.86,89.36
99.79,14.97,27.67,44.91,66.68,91.63
104.33,15.42,28.58,46.27,68.49,93.44
108.86,16.33,29.48,47.63,69.85,95.25
113.4,17.24,30.84,48.99,71.67,97.07
117.93,17.69,31.75,50.35,73.03,98.88
122.47,18.6,32.66,51.26,74.39,100.24
127.01,19.5,33.57,52.62,75.75,102.06
131.54,19.96,34.47,53.52,77.11,103.87
136.08,20.87,35.38,54.88,78.47,105.23
140.61,21.32,36.29,55.79,79.83,106.59
