BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,3.63,8.16,14.97,23.59,34.02
54.43,4.08,9.07,16.33,25.4,36.29
58.97,4.54,9.98,17.24,26.76,38.1
63.5,5.44,10.89,18.6,28.58,39.92
68.04,5.9,11.79,19.96,29.94,41.73
72.57,6.8,12.7,20.87,31.3,43.09
77.11,7.26,13.61,21.77,32.66,44.91
81.65,7.71,14.06,23.13,34.02,46.27
86.18,8.16,14.97,24.04,34.93,47.63
90.72,9.07,15.88,24.95,36.29,48.99
95.25,9.53,16.33,25.85,37.19,50.35
99.79,9.98,17.24,26.76,38.56,51.71
104.33,10.43,18.14,27.67,39.46,52.62
108.86,11.34,18.6,28.58,40.37,53.98
113.4,11.79,19.5,29.48,41.73,55.34
117.93,12.25,19.96,30.39,42.64,56.25
122.47,12.7,20.87,30.84,43.54,57.15
127.01,13.15,21.32,31.75,44.45,58.51
131.54,13.61,21.77,32.66,45.36,59.42
136.08,14.06,22.68,33.57,46.27,60.33
140.61,14.51,23.13,34.02,47.17,61.23
