BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,7.26,16.78,30.39,48.53,69.4
54.43,8.62,18.6,33.11,51.71,73.48
58.97,9.98,20.41,35.83,54.88,77.56
63.5,11.34,22.68,38.1,58.06,81.19
68.04,12.7,24.49,40.82,61.23,84.37
72.57,14.06,26.31,43.09,63.96,87.54
77.11,15.42,27.67,44.91,66.68,90.72
81.65,16.33,29.48,47.17,68.95,93.89
86.18,17.69,31.3,49.44,71.67,96.62
90.72,19.05,32.66,51.26,73.94,99.34
95.25,19.96,34.47,53.07,76.2,102.06
99.79,21.32,35.83,55.34,78.47,104.78
104.33,22.23,37.19,57.15,80.74,107.5
108.86,23.59,38.56,58.51,83.01,109.77
113.4,24.49,39.92,60.33,84.82,112.04
117.93,25.85,41.28,62.14,87.09,114.31
122.47,26.76,42.64,63.96,88.9,116.57
127.01,27.67,44,65.32,90.72,118.84
131.54,29.03,45.36,67.13,92.53,121.11
136.08,29.94,46.72,68.49,94.35,122.92
140.61,30.84,48.08,69.85,96.16,125.19
