BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,1.81,6.35,13.15,22.68,34.47
54.43,2.72,7.26,14.51,24.95,36.74
58.97,3.18,8.16,15.88,26.76,39.01
63.5,3.63,9.07,17.24,28.12,41.28
68.04,4.54,9.98,18.6,29.94,43.09
72.57,4.99,11.34,19.96,31.75,44.91
77.11,5.44,12.25,21.32,33.11,46.72
81.65,6.35,13.15,22.68,34.47,48.53
86.18,6.8,14.06,23.59,36.29,50.35
90.72,7.71,14.51,24.95,37.65,52.16
95.25,8.16,15.42,25.85,39.01,53.52
99.79,8.62,16.33,26.76,40.37,55.34
104.33,9.53,17.24,28.12,41.28,56.7
108.86,9.98,18.14,29.03,42.64,58.06
113.4,10.43,19.05,29.94,44,59.42
117.93,11.34,19.5,30.84,44.91,60.78
122.47,11.79,20.41,32.21,46.27,62.14
127.01,12.25,21.32,33.11,47.17,63.5
131.54,12.7,21.77,34.02,48.53,64.86
136.08,13.15,22.68,34.93,49.44,66.22
140.61,14.06,23.13,35.38,50.35,67.13
