BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,2.72,7.26,14.97,25.4,38.1
54.43,3.18,8.62,16.78,27.67,40.37
58.97,4.08,9.53,18.14,29.48,43.09
63.5,4.54,10.43,19.5,31.3,44.91
68.04,4.99,11.79,20.87,33.11,47.17
72.57,5.9,12.7,22.23,34.47,48.99
77.11,6.35,13.61,23.59,36.29,50.8
81.65,7.26,14.51,24.95,37.65,52.62
86.18,7.71,15.42,25.85,39.46,54.43
90.72,8.62,16.33,27.22,40.82,56.25
95.25,9.07,17.24,28.12,42.18,58.06
99.79,9.98,18.14,29.48,43.54,59.42
104.33,10.43,19.05,30.39,44.91,61.23
108.86,10.89,19.96,31.75,46.27,62.6
113.4,11.79,20.41,32.66,47.17,63.96
117.93,12.25,21.32,33.57,48.53,65.32
122.47,12.7,22.23,34.47,49.9,66.68
127.01,13.61,22.68,35.38,50.8,68.04
131.54,14.06,23.59,36.29,51.71,69.4
136.08,14.51,24.49,37.19,53.07,70.76
140.61,14.97,24.95,38.1,53.98,71.67
