BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,0.91,4.54,11.34,20.87,32.66
54.43,1.36,5.44,12.7,22.68,34.93
58.97,1.81,6.35,13.61,24.04,36.74
63.5,2.27,6.8,14.51,25.4,38.56
68.04,2.72,7.71,15.88,26.76,39.92
72.57,2.72,8.16,16.78,28.12,41.73
77.11,3.18,9.07,17.69,29.03,43.09
81.65,3.63,9.53,18.6,30.39,44.45
86.18,4.08,10.43,19.5,31.75,45.81
90.72,4.54,10.89,20.41,32.66,47.17
95.25,4.99,11.34,21.32,33.57,48.53
99.79,5.44,12.25,21.77,34.93,49.9
104.33,5.9,12.7,22.68,35.83,50.8
108.86,6.35,13.15,23.59,36.74,52.16
113.4,6.35,13.61,24.49,37.65,53.07
117.93,6.8,14.51,24.95,38.56,54.43
122.47,7.26,14.97,25.85,39.46,55.34
127.01,7.71,15.42,26.31,40.37,56.25
131.54,8.16,15.88,27.22,41.28,57.61
136.08,8.62,16.33,27.67,42.18,58.51
140.61,8.62,17.24,28.58,43.09,59.42
