BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,3.18,9.07,19.05,32.21,47.63
54.43,4.08,10.89,20.87,34.93,51.26
58.97,4.99,12.25,23.13,37.19,53.98
63.5,5.9,13.61,24.95,39.92,57.15
68.04,6.8,14.97,26.76,42.18,59.87
72.57,7.71,16.33,28.58,44.45,62.6
77.11,8.62,17.69,30.39,46.27,64.86
81.65,9.53,19.05,31.75,48.53,67.59
86.18,10.43,19.96,33.57,50.35,69.85
90.72,11.34,21.32,35.38,52.62,72.12
95.25,12.25,22.68,36.74,54.43,74.39
99.79,13.15,23.59,38.1,56.25,76.66
104.33,14.06,24.95,39.92,58.06,78.47
108.86,14.97,25.85,41.28,59.42,80.29
113.4,15.88,27.22,42.64,61.23,82.55
117.93,16.33,28.12,44,63.05,84.37
122.47,17.24,29.48,45.36,64.41,86.18
127.01,18.14,30.39,46.72,66.22,88
131.54,19.05,31.3,47.63,67.59,89.81
136.08,19.5,32.21,48.99,68.95,91.63
140.61,20.41,33.57,50.35,70.31,92.99
