BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,0.91,5.44,15.88,30.84,50.35
54.43,0.91,5.9,16.33,32.21,51.71
58.97,0.91,6.35,17.24,33.11,53.07
63.5,1.36,6.8,18.14,34.02,53.98
68.04,1.36,7.26,18.6,34.93,55.34
72.57,1.81,7.71,19.5,35.83,56.25
77.11,1.81,8.16,19.96,36.74,57.61
81.65,1.81,8.62,20.41,37.65,58.51
86.18,2.27,9.07,20.87,38.1,59.42
90.72,2.27,9.53,21.77,39.01,60.33
95.25,2.72,9.53,22.23,39.46,61.23
99.79,2.72,9.98,22.68,40.37,62.14
104.33,2.72,10.43,23.13,40.82,62.6
108.86,3.18,10.43,23.59,41.73,63.5
113.4,3.18,10.89,24.04,42.18,64.41
117.93,3.18,11.34,24.49,42.64,64.86
122.47,3.63,11.34,24.95,43.54,65.77
127.01,3.63,11.79,25.4,44,66.22
131.54,3.63,12.25,25.85,44.45,67.13
136.08,4.08,12.25,26.31,44.91,67.59
140.61,4.08,12.7,26.31,45.36,68.49
