BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,4.54,10.43,19.05,30.84,44.45
54.43,5.44,11.79,21.32,33.11,47.63
58.97,6.35,13.15,23.13,35.38,50.35
63.5,7.26,14.51,24.49,37.65,52.62
68.04,8.16,15.88,26.31,39.92,55.34
72.57,9.07,16.78,28.12,41.73,57.61
77.11,9.98,18.14,29.48,44,59.87
81.65,10.89,19.5,31.3,45.81,62.14
86.18,11.79,20.41,32.66,47.63,64.41
90.72,12.7,21.77,34.02,49.44,66.22
95.25,13.61,23.13,35.38,50.8,68.04
99.79,14.06,24.04,36.74,52.62,70.31
104.33,14.97,24.95,38.1,53.98,72.12
108.86,15.88,26.31,39.46,55.79,73.94
113.4,16.78,27.22,40.82,57.15,75.3
117.93,17.69,28.12,42.18,58.51,77.11
122.47,18.14,29.03,43.09,59.87,78.93
127.01,19.05,29.94,44.45,61.69,80.29
131.54,19.96,31.3,45.36,63.05,81.65
136.08,20.41,32.21,46.72,63.96,83.46
140.61,21.32,33.11,47.63,65.32,84.82
