BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,1.36,5.9,13.61,24.49,38.1
54.43,2.27,7.26,15.42,27.22,41.28
58.97,2.72,8.16,17.24,29.48,44
63.5,3.63,9.53,18.6,31.3,46.27
68.04,4.08,10.43,20.41,33.57,48.99
72.57,4.99,11.79,21.77,35.38,51.26
77.11,5.44,12.7,23.59,37.65,53.52
81.65,6.35,14.06,24.95,39.46,55.79
86.18,7.26,14.97,26.31,41.28,58.06
90.72,7.71,15.88,27.67,43.09,60.33
95.25,8.62,17.24,29.03,44.45,62.14
99.79,9.53,18.14,30.39,46.27,63.96
104.33,9.98,19.05,31.75,47.63,66.22
108.86,10.89,19.96,33.11,49.44,68.04
113.4,11.34,21.32,34.47,50.8,69.85
117.93,12.25,22.23,35.83,52.62,71.21
122.47,12.7,23.13,36.74,53.98,73.03
127.01,13.61,24.04,38.1,55.34,74.84
131.54,14.06,24.95,39.01,56.7,76.2
136.08,14.97,25.85,40.37,58.06,78.02
140.61,15.42,26.76,41.28,59.42,79.38
