BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,1.36,4.99,11.34,20.41,30.84
54.43,1.81,5.9,12.7,21.77,33.11
58.97,2.27,6.8,14.06,23.59,34.93
63.5,3.18,7.71,14.97,24.95,36.74
68.04,3.63,8.62,16.33,26.31,38.56
72.57,4.08,9.53,17.24,27.67,39.92
77.11,4.54,9.98,18.6,29.03,41.73
81.65,4.99,10.89,19.5,30.39,43.09
86.18,5.44,11.79,20.41,31.75,44.91
90.72,5.9,12.25,21.32,33.11,46.27
95.25,6.35,13.15,22.23,34.02,47.63
99.79,7.26,13.61,23.13,35.38,48.99
104.33,7.71,14.51,24.04,36.29,50.35
108.86,8.16,14.97,24.95,37.19,51.71
113.4,8.62,15.88,25.85,38.56,52.62
117.93,9.07,16.33,26.76,39.46,53.98
122.47,9.53,17.24,27.67,40.37,54.88
127.01,9.98,17.69,28.58,41.28,56.25
131.54,10.43,18.6,29.03,42.18,57.15
136.08,10.89,19.05,29.94,43.09,58.51
140.61,11.34,19.5,30.84,44,59.42
