BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,0.91,4.99,13.15,25.4,40.82
54.43,1.36,6.35,15.42,28.12,44.45
58.97,2.27,7.71,17.24,30.84,47.63
63.5,2.72,9.07,19.5,33.57,50.8
68.04,3.63,10.43,21.32,36.29,53.98
72.57,4.54,11.79,23.13,38.56,57.15
77.11,5.44,13.15,24.95,41.28,59.87
81.65,5.9,14.51,26.76,43.54,62.6
86.18,6.8,15.88,28.58,45.81,65.32
90.72,7.71,17.24,30.39,48.08,68.04
95.25,8.62,18.14,32.21,49.9,70.76
99.79,9.53,19.5,34.02,52.16,73.03
104.33,10.43,20.87,35.38,53.98,75.3
108.86,11.34,22.23,37.19,56.25,78.02
113.4,12.25,23.13,38.56,58.06,80.29
117.93,13.15,24.49,40.37,59.87,82.1
122.47,14.06,25.85,41.73,61.69,84.37
127.01,14.97,26.76,43.09,63.5,86.64
131.54,15.88,28.12,44.91,65.32,88.45
136.08,16.33,29.03,46.27,67.13,90.72
140.61,17.24,30.39,47.63,68.49,92.53
