BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,2.27,8.62,18.6,33.11,50.35
54.43,3.18,9.98,20.87,36.29,54.43
58.97,4.08,11.34,23.13,39.01,57.61
63.5,4.99,13.15,25.4,41.73,61.23
68.04,5.9,14.51,27.67,44.45,64.41
72.57,6.8,15.88,29.48,46.72,67.59
77.11,8.16,17.69,31.3,49.44,70.31
81.65,9.07,19.05,33.11,51.71,73.03
86.18,9.98,20.41,35.38,53.98,75.75
90.72,10.89,21.77,37.19,56.25,78.47
95.25,11.79,23.13,38.56,58.51,81.19
99.79,12.7,24.49,40.37,60.78,83.46
104.33,13.61,25.85,42.18,62.6,85.73
108.86,14.51,26.76,43.54,64.41,88.45
113.4,15.88,28.12,45.36,66.68,90.72
117.93,16.78,29.48,46.72,68.49,92.53
122.47,17.69,30.84,48.53,70.31,94.8
127.01,18.6,31.75,49.9,72.12,97.07
131.54,19.5,33.11,51.26,73.94,98.88
136.08,19.96,34.02,52.62,75.75,101.15
140.61,20.87,35.38,54.43,77.11,102.97
