BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,0.91,6.35,17.69,34.02,55.34
54.43,1.36,7.71,19.5,36.74,58.51
58.97,1.81,8.62,21.32,39.01,61.69
63.5,2.27,9.98,22.68,41.73,64.41
68.04,2.72,10.89,24.49,44,67.13
72.57,3.63,11.79,26.31,45.81,69.85
77.11,4.08,13.15,27.67,48.08,72.57
81.65,4.54,14.06,29.48,49.9,74.84
86.18,5.44,14.97,30.84,52.16,77.11
90.72,5.9,16.33,32.21,53.98,79.83
95.25,6.35,17.24,33.57,55.79,81.65
99.79,7.26,18.14,34.93,57.61,83.91
104.33,7.71,19.05,36.29,58.97,86.18
108.86,8.16,19.96,37.65,60.78,88
113.4,9.07,20.87,39.01,62.14,89.81
117.93,9.53,21.77,39.92,63.96,91.63
122.47,9.98,22.68,41.28,65.32,93.44
127.01,10.89,23.59,42.64,67.13,95.25
131.54,11.34,24.49,43.54,68.49,97.07
136.08,11.79,25.4,44.91,69.85,98.88
140.61,12.25,26.31,45.81,71.21,100.24
