BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,< 1,1,35,82,139
54.43,< 1,4,36,81,135
58.97,< 1,5,37,80,132
63.5,< 1,6,37,79,128
68.04,< 1,7,37,78,125
72.57,< 1,8,37,76,122
77.11,< 1,9,37,75,119
81.65,< 1,9,37,73,116
86.18,< 1,9,37,72,113
90.72,< 1,10,37,71,110
95.25,< 1,10,36,69,107
99.79,< 1,10,36,68,105
104.33,< 1,10,35,67,103
108.86,< 1,10,35,66,100
113.4,< 1,10,34,64,98
117.93,< 1,10,34,63,96
122.47,< 1,10,34,62,94
127.01,< 1,10,33,61,92
131.54,< 1,10,33,60,90
136.08,< 1,10,32,59,88
140.61,< 1,10,32,58,87
