BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,3.63,7.71,13.61,21.77,30.84
54.43,4.54,9.07,15.42,23.59,33.11
58.97,5.44,10.43,17.24,25.85,35.38
63.5,6.35,11.34,18.6,27.67,37.65
68.04,7.26,12.7,20.41,29.48,39.92
72.57,8.16,14.06,21.77,31.3,41.73
77.11,9.07,14.97,23.13,33.11,44
81.65,9.98,16.33,24.49,34.47,45.81
86.18,10.89,17.24,25.85,36.29,47.63
90.72,11.34,18.6,27.22,37.65,49.44
95.25,12.25,19.5,28.58,39.46,51.26
99.79,13.15,20.41,29.94,40.82,53.07
104.33,14.06,21.32,30.84,42.18,54.43
108.86,14.97,22.68,32.21,43.54,56.25
113.4,15.88,23.59,33.57,44.91,57.61
117.93,16.33,24.49,34.47,46.27,59.42
122.47,17.24,25.4,35.83,47.63,60.78
127.01,18.14,26.31,36.74,48.99,62.14
131.54,18.6,27.22,37.65,49.9,63.5
136.08,19.5,28.12,39.01,51.26,64.86
140.61,20.41,29.03,39.92,52.62,66.22
