BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,25.4,39.46,57.61,78.93,102.06
54.43,28.58,43.54,62.14,83.91,108.41
58.97,31.75,47.17,66.68,89.36,113.85
63.5,34.47,50.8,70.76,93.89,119.75
68.04,37.65,53.98,74.84,98.88,124.74
72.57,40.37,57.61,78.47,103.42,129.73
77.11,43.09,60.78,82.55,107.5,134.72
81.65,45.36,63.5,86.18,111.58,139.25
86.18,48.08,66.68,89.36,115.67,143.79
90.72,50.8,69.85,92.99,119.29,147.87
95.25,53.07,72.57,96.16,122.92,151.95
99.79,55.34,75.3,99.34,126.55,156.04
104.33,57.61,78.02,102.51,130.18,159.66
108.86,59.87,80.29,105.23,133.36,163.29
113.4,62.14,83.01,108.41,136.53,166.92
117.93,64.41,85.28,111.13,139.71,170.55
122.47,66.22,88,113.85,142.88,173.73
127.01,68.49,90.26,116.57,146.06,177.35
131.54,70.31,92.53,118.84,148.78,180.53
136.08,72.12,94.8,121.56,151.95,183.7
140.61,74.39,97.07,124.28,154.67,186.88
