BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,21.32,33.57,49.9,69.4,90.72
54.43,24.49,38.1,54.88,75.3,97.52
58.97,27.67,42.18,59.87,80.74,103.87
63.5,31.3,45.81,64.41,86.18,110.22
68.04,34.47,49.9,68.95,91.63,116.12
72.57,37.19,53.52,73.48,96.62,121.56
77.11,40.37,57.15,77.56,101.6,127.01
81.65,43.54,60.78,81.65,106.14,132.45
86.18,46.27,63.96,85.73,110.68,137.44
90.72,49.44,67.59,89.81,115.21,142.43
95.25,52.16,70.76,93.44,119.29,146.96
99.79,54.88,73.94,97.07,123.38,151.5
104.33,57.61,77.11,100.7,127.46,156.04
108.86,59.87,80.29,104.33,131.54,160.12
113.4,62.6,83.01,107.5,135.17,164.65
117.93,65.32,86.18,110.68,138.8,168.74
122.47,67.59,88.9,114.31,142.43,172.37
127.01,70.31,91.63,117.03,146.06,176.45
131.54,72.57,94.35,120.2,149.23,180.08
136.08,74.84,97.07,123.38,152.86,183.7
140.61,77.11,99.79,126.1,156.04,187.33
