BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,14.51,34.93,66.22,107.05,155.58
54.43,17.24,39.46,72.57,115.21,165.11
58.97,20.41,44,78.47,122.92,174.18
63.5,23.59,48.53,84.37,130.18,182.8
68.04,26.76,53.07,90.26,136.98,191.42
72.57,29.48,57.15,95.71,143.79,199.13
77.11,32.66,61.23,100.7,150.14,206.84
81.65,35.38,65.32,106.14,156.49,214.1
86.18,38.56,68.95,110.68,162.39,220.9
90.72,41.28,73.03,115.67,168.28,227.7
95.25,44,76.66,120.2,173.73,234.05
99.79,46.72,80.29,124.74,179.17,240.4
104.33,49.44,83.46,129.27,184.61,246.75
108.86,52.16,87.09,133.36,189.6,252.65
113.4,54.88,90.26,137.44,194.59,258.09
117.93,57.15,93.89,141.52,199.58,263.54
122.47,59.87,97.07,145.6,204.12,268.98
127.01,62.14,100.24,149.69,208.65,274.42
131.54,64.86,103.42,153.31,213.19,279.41
136.08,67.13,106.14,156.94,217.72,284.4
140.61,69.4,109.32,160.57,221.81,289.39
