BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,2.27,11.79,29.48,55.34,87.54
54.43,3.18,13.61,32.21,59.42,92.53
58.97,4.08,15.42,34.93,62.6,97.07
63.5,4.99,16.78,37.65,66.22,101.15
68.04,5.9,18.6,39.92,69.4,105.23
72.57,6.8,20.41,42.18,72.57,108.86
77.11,7.71,21.77,44.45,75.75,112.49
81.65,8.62,23.59,46.72,78.47,116.12
86.18,9.53,24.95,48.99,81.19,119.29
90.72,10.43,26.31,51.26,83.91,122.92
95.25,11.34,27.67,53.07,86.64,125.65
99.79,12.25,29.48,54.88,88.9,128.82
104.33,13.15,30.84,57.15,91.17,131.54
108.86,14.06,32.21,58.97,93.89,134.72
113.4,14.97,33.57,60.78,96.16,137.44
117.93,15.88,34.47,62.6,98.43,139.71
122.47,16.78,35.83,63.96,100.24,142.43
127.01,17.69,37.19,65.77,102.51,145.15
131.54,18.14,38.56,67.59,104.33,147.42
136.08,19.05,39.92,68.95,106.59,149.69
140.61,19.96,40.82,70.76,108.41,151.95
