BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,9.53,15.88,23.59,33.11,43.54
54.43,11.34,18.14,26.31,36.29,47.17
58.97,13.15,19.96,29.03,39.46,50.8
63.5,14.97,22.23,31.3,42.18,53.98
68.04,16.78,24.49,34.02,44.91,57.15
72.57,18.6,26.31,36.29,48.08,60.33
77.11,19.96,28.58,38.56,50.35,63.5
81.65,21.77,30.39,40.82,53.07,66.22
86.18,23.13,32.21,43.09,55.79,68.95
90.72,24.95,34.02,45.36,58.06,71.67
95.25,26.31,35.83,47.17,60.33,74.39
99.79,28.12,37.65,49.44,62.6,76.66
104.33,29.48,39.46,51.26,64.86,79.38
108.86,30.84,41.28,53.07,67.13,81.65
113.4,32.21,42.64,55.34,68.95,83.91
117.93,33.57,44.45,57.15,71.21,86.18
122.47,35.38,45.81,58.97,73.03,88.45
127.01,36.74,47.63,60.33,75.3,90.72
131.54,37.65,48.99,62.14,77.11,92.53
136.08,39.01,50.35,63.96,78.93,94.8
140.61,40.37,52.16,65.77,80.74,96.62
