BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,2.27,7.26,15.88,27.22,40.82
54.43,2.72,8.16,16.78,28.58,42.18
58.97,3.18,8.62,17.69,29.48,44
63.5,3.63,9.53,18.6,30.84,45.36
68.04,4.08,9.98,19.5,32.21,46.72
72.57,4.54,10.89,20.41,33.11,48.08
77.11,4.54,11.34,21.32,34.02,49.44
81.65,4.99,11.79,21.77,34.93,50.35
86.18,5.44,12.25,22.68,35.83,51.71
90.72,5.9,13.15,23.59,36.74,52.62
95.25,6.35,13.61,24.04,37.65,53.98
99.79,6.35,14.06,24.95,38.56,54.88
104.33,6.8,14.51,25.4,39.46,55.79
108.86,7.26,14.97,26.31,40.37,56.7
113.4,7.71,15.42,26.76,41.28,57.61
117.93,7.71,15.88,27.22,41.73,58.51
122.47,8.16,16.33,28.12,42.64,59.42
127.01,8.62,16.78,28.58,43.09,60.33
131.54,8.62,17.24,29.03,44,60.78
136.08,9.07,17.69,29.48,44.45,61.69
140.61,9.53,18.14,29.94,45.36,62.6
