BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,28.12,47.63,73.03,104.33,138.8
54.43,32.66,53.07,79.83,112.49,148.32
58.97,36.74,58.51,86.64,120.2,157.4
63.5,40.82,63.96,92.99,127.46,166.01
68.04,44.91,68.95,98.88,134.72,174.18
72.57,48.99,73.94,105.23,141.52,181.89
77.11,53.07,78.47,110.68,148.32,189.15
81.65,56.7,83.46,116.12,154.67,196.41
86.18,60.78,88,121.56,161.03,203.66
90.72,64.41,92.08,127.01,166.92,210.01
95.25,68.04,96.62,132,172.82,216.82
99.79,71.67,100.7,136.53,178.26,223.17
104.33,74.84,104.78,141.52,183.7,229.06
108.86,78.47,108.86,146.06,189.15,234.96
113.4,81.65,112.94,150.59,194.14,240.86
117.93,84.82,116.57,155.13,199.13,246.3
122.47,88,120.2,159.21,204.12,251.74
127.01,91.17,123.83,163.75,208.65,256.73
131.54,94.35,127.46,167.83,213.19,262.18
136.08,97.07,131.09,171.46,217.72,267.17
140.61,100.24,134.26,175.54,222.26,271.7
