BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,8.62,19.96,37.65,60.33,87.09
54.43,9.98,22.68,40.82,64.41,92.08
58.97,11.79,24.95,44,68.49,97.07
63.5,13.61,27.22,47.17,72.57,101.6
68.04,14.97,29.48,50.35,76.2,105.69
72.57,16.78,31.75,53.07,79.38,109.77
77.11,18.14,34.02,55.79,83.01,113.85
81.65,19.5,35.83,58.51,86.18,117.48
86.18,21.32,38.1,61.23,89.36,121.56
90.72,22.68,39.92,63.5,92.53,124.74
95.25,24.04,42.18,65.77,95.25,128.37
99.79,25.4,44,68.49,97.98,131.54
104.33,27.22,45.81,70.76,100.7,134.72
108.86,28.58,47.63,73.03,103.42,137.89
113.4,29.94,49.44,74.84,106.14,140.61
117.93,31.3,50.8,77.11,108.41,143.79
122.47,32.21,52.62,78.93,111.13,146.51
127.01,33.57,54.43,81.19,113.4,149.23
131.54,34.93,55.79,83.01,115.67,151.95
136.08,36.29,57.61,84.82,117.93,154.22
140.61,37.65,58.97,87.09,120.2,156.94
